101,Phone 101,45,72.32
102,Microphone 102,87,10.16
103,Phone 103,98,129.73
104,Pen Drive 104,48,49.45
105,Pen Drive 105,84,33.28
106,Router 106,96,43.57
107,Tumbler 107,12,107.06
108,Camera 108,39,100.69
109,Backpack 109,35,109.82
110,Speaker 110,62,145.68
111,USB Hub 111,93,138.84
112,Cable 112,71,79.59
113,Monitor 113,49,144.77
114,Router 114,89,50.49
115,Speaker 115,79,116.12
116,Watch 116,37,114.91
117,Mouse 117,28,34.58
118,Router 118,67,18.55
119,USB Hub 119,40,56.01
120,Chair 120,59,140.39
121,Lamp 121,95,123.83
122,Monitor 122,33,75.36
123,Tablet 123,17,120.38
124,Cable 124,59,113.34
125,USB Hub 125,18,48.64
126,USB Hub 126,15,35.6
127,Tablet 127,61,41.66
128,USB Hub 128,44,49.83
129,Phone 129,37,94.98
130,Backpack 130,55,48.98
131,Speaker 131,30,12.72
132,Router 132,87,107.4
133,Pen Drive 133,97,135.89
134,Tablet 134,64,71.35
135,Mouse 135,89,107.9
136,Chair 136,64,126.72
137,Desk Mat 137,45,107.73
138,Router 138,36,104.92
139,Chair 139,66,111.89
140,Speaker 140,63,111.07
141,Cable
